rank,argument,topic
0.8944,"If I ever ""murder"" someone without cause, I would deserve to die.",dp
0.8932,"So, seems to me that when you make death a quick (as in timely) and certain punishment, there is most definitely a deterent effect.",dp
0.89275,"So if we can assume that innocent people are convicted in capital punishment cases, shouldn't we be free to assume that innocent people are being convicted in non-capital punishment cases as well?",dp
0.8916,"ok guys, a more extensive reply is on the way, but first i have to ask you anti-capital punishment guys this: If we take your arguments to their logical extreme, we must then say that ANY FORM of ANY punishment is immoral.",dp
0.8908,If they're in prison for life they also will not kill again.,dp
0.887,the only way you can really support capitol punishment is you would be willing to do it yourself.,dp
0.8858,If the death penalty deters murder (as you claim) then why does Europe have a lower murder rate even though they've outlawed the death penalty?,dp
0.88375,Society doesn't have to go overboard - life without parole is sufficient.,dp
0.8823333333,"In 26 years the death penalty has been in effect in my home state of Illinois, there have been more people exonerated due to irrefutable evidence than have been put to death.",dp
0.882,But killing someone because of him killing someone is quite hypocritical.,dp
0.8812,"Capitol punishment is not o.k., no matter how you try to justify it, and if you are using Jesus Christ as justification, then you are definitely never going to find that justification.",dp
0.8809999999999999,Well what is your decision on whether to support the death penalty?,dp
0.88,"So the blind spot isn't mine at all, because I'm not in denial of reality in order to justify the killing of totally innocent unborn children as I argue against the legal executions of murderers who knowingly and premeditatedly steal peoples hopes, dreams and their very lives.",dp
0.8782,Dsa posted some figures on the old forum saying that less people end up dying if the death penalty is kept in place.,dp
0.8772,"Here are the stats from the time that the death penalty was reinstated in Illinois (1978) to the time that Ryan issued the mass commutation: People actually put to death: 7 People put on death row, then found innocent: 13 Should we be killing people if the justice system was wrong in AT LEAST 65% of capital cases????",dp
0.8765,"killing a person, no matter the reason, is still murder.",dp
0.8764,I finally found the stats I mentioned in an earlier post: People put to death in Illinois: 7 People exonerated due to irrefutable evidence: 13 Don't you think there's a problem when almost 2/3rds of the death penalty cases result in exoneration.,dp
0.8755,"If that was the case, then books speaking about the history and highlighting the corruption of the 18th century would have never even been published in 2010.",dp
0.8725,If she was raped she had the right to kill him to stop the abuse.,dp
0.8714,"But the way i look at it is that whatever one person does to another, especially if it causes death or extreme hospital bills, they deserve to have it done to them as well.",dp
0.8713333333,Some poll numbers showing most Americans opinions about captial punishment: http://www.deathpenaltyinfo.org/arti...10#FoxNews0001,dp
0.8712,But the statistics don't support the idea that the death penalty is any more effective as a detterent than is a life sentence.,dp
0.871,both me and thistown have quoted Jesus to support our stance on the death penalty.,dp
0.87025,Death penalty cases cost way more because they usual go through a series of costly appeals.,dp
0.8702,it is quite clear that Jesus did not support the death penalty.,dp
0.9213333333,But Saddam thought that Sharia law was too harsh to be used in general practice.,dp
0.8683333333,"No, I am not sure... Your cocksure attitude intimating that there is not much chance you could end up falsly convicted and excecuted makes me wonder if the reason for that attitude is that you fall into the category of middle class Anglo.",dp
0.868,ya patriot i dont understand that either i remember seeing on tv a guy who was sentanced back in the mid 80s and just now getting the needle is there a reason for this?,dp
0.9305,"Oh I'm not saying that the govenrment should do away with the death penalty on these grounds, I'm saying that Christian people should oppose it, you said it yourself.",dp
0.93175,"Even if you take capitol punishment completely out of the realm of God and religion, specifically Christianity, it is wrong.",dp
0.8640000000000001,if someone has comitted a terrible crime bad enough to be on death penalty then i think theres no way that person can be rehabilitated and put back into society.,dp
0.8622,"Some human beings have proven they have forfeited the right to continue to breathe the same air as civilized people, PERIOD!!!",dp
0.8618,"Even if you choose to cling to these Old Testament laws at least admit that Jesus Christ, the man who defines and embodies what it is to be a Christian HATED the death penalty.",dp
0.8615,But this warped society would rather fight for the right to kill the most dependent beings on the planet and make excuses for the killers.,dp
0.8612,But life imprisonment without parole also deters the criminal from recommitting.,dp
0.861,If it were me paying for it all lifers would die.,dp
0.861,"But as long as they are only options, I support the criminals right to choose that particular method.",dp
0.934,"First off, the point of the death penalty is not to prevent future killings, it is there to give justice.",dp
0.86,"So the Creons, Torquemadas and Jauverts of the world have always believed, much to their, and our, detriment.",dp
0.8590000000000001,"So in reality, pushing the death penalty only ensures that more innocent people will be murdered.",dp
0.8584,so you kill ten people in a gun massacre and it warrants you an easy cared for life and a possibility of release?,dp
0.8817777778,But Jesus Christ told us point blank that capitol punishment was downright evil.,dp
0.8582,"If someone killed a relative of mine, I'd want to PERSONALLY throw the switch or put a bullet in their head.",dp
0.8582,"First of all, judging the death penalty by comparing the United States to Europe is not going to do any good.",dp
0.89825,"We need to halt the death penalty before anyone else gets unjustly sentenced, then fix the problems (if that is even possible), and then, when we have safeguards in place, reinstitute it.",dp
0.858,DNA testing may become useless soon because there is a new practice going on where prisoners sell a sample of their DNA which is placed at the scene of the crime to confuse the investigation.,dp
0.91375,"But if the state kills an innocent man, THAT is irreversible.",dp
0.89525,So because we might kill an innocent that means we should stop killing ALL murderers?,dp
0.9265,If you read my arguments clearly you would understand that i said capital punishment if used more often will deter crime.,dp
0.85625,"So what is one supposed to do if a criminal violently attacks a member of his family, just sit idly back and watch a soft judicial system set the criminal free after a short stay in prison, or get off on a technicality because the arresting officer didnt use proper punctuation in the report.",dp
0.8558,No death penalty = less prison space = more money spent on building new prisons = no money saved The amount of people in the prisons would quickly build up and we would have to build more prisons.,dp
0.8545,"But why not put him in a 6x6 cell, no tv, no outside contact, no magazines: just him and 4 walls, a meal a day and a grate in the floor for bodily needs.",dp
0.8540000000000001,"The Bible doesn't go against the death penalty, it supports it.",dp
0.85175,"So, in your opinon, a person who rapes little kids is just as valuable a member of society as somebody who feeds hungry people in a soup kitchen?",dp
0.899,"But if that one doesn't wash for you, here's another argument against the deterent factor (and I must credit a bunch of wonderful schools debaters from a disadvantaged community in the third world for this): A. Executions in the modern 'civilised' world take place behind closed doors in a sealed room with sterile instruments and all the advantages of medical science.",dp
0.85125,But I oppose the death penalty because it has the capacity to kill innocent people.,dp
0.85,"Darknight, This is a good point that I agree with and another Pro for capital punishment.",dp
0.84875,If someone kills a massive number of people is it fair in the victims eyes to have someone sit in jail for the rest of their lives?,dp
0.8486,"if a person kills another person it is murder, whether it is sanctioned by the state or not.",dp
0.8486,"But a person who disregarded the rights of the victim, in effect denying that person the right to be alive and suffered the terror of life leaving their body should not be given the right to enjoy more breath than it takes to deliver them to a gallows.",dp
0.8482,"If they don't want to die, then I suggest they don't steal, murder, etc.",dp
0.848,Something quite different than when you're pushed infront of some detectives and actually questioned over your motives for murdering someone.,dp
0.847,"First, the Bill of Rights was written by people who supported the death penalty, therefore it cannot be contradictory to the views of those who are in favor of imposing capital punishment.",dp
0.8466666667,In one case it took them 21 years before the murderer was finally killed.,dp
0.8462222222,"If you want to kill somebody, then expect the consequences of your actions.",dp
0.861,So how about we stop a penalty that has executed innocents?,dp
0.845,"Society is brutalized by the maintenance and release of such criminals, not their execution.",dp
0.845,If he went to trial I would not want him to be humanely put to sleep.,dp
0.8448,"If they know they'll die if caught, they'll likely kill more rape victims and children.",dp
0.8445,but do u think criminals fear death?,dp
0.8444,"If the government should have the duty to protect all of its citizens, it should extend especially to the murderer.",dp
0.8444,"If the same murderer had been given the death penalty, and never released in the first place, he would not be able to kill again.",dp
0.8443333332999999,there are a whole slew of laws in the old testament that are ridiculous and are not applicable any more.,dp
0.8440000000000001,- Calli You have absolutely no idea what you're talking about.,dp
0.8440000000000001,"If the government does happen to be repressive, who's to say enough people will rise up?",dp
0.8440000000000001,"No, we shouldn't abolish every flawed system.",dp
0.8440000000000001,"So, in summary, you aren't against the death penalty on principle.",dp
0.84375,"Some people facing the death penalty have been exonerated, sometimes only minutes before their scheduled execution.",dp
0.84325,"If I was thinking of commiting murder, then I would certainly prefer to be executed quickly and painlessly, as it is done today (gas chamber, lethal injection, etc.) Most criminals that commit crimes DO NOT have the intention of being caught, so they do not often take the possible punishment into account.",dp
0.8420000000000001,"The ""Central Park Jogger"" case involved a person who confessed who probably was guilty.",dp
0.87825,I would support the death penalty IF there was a way to ensure that it would not put innocent people to death.,dp
0.8414,"Dirtynumbangel, ""It would be more of a punishment to lock someone up for their whole lives than to kill them, that's the easy way out"" Would you honestly rather be put to death than spend it in jail.",dp
0.8414,"First of all, I am against death penalty.... but if it related to children I am cruel!",dp
0.841,"But on another note, I wonder whether he wouldn't rather be sentenced to death than put with the general prison population.",dp
0.8405,"If you just shot suspects without a trial it'd be even cheaper, it'd probably have a decent deterrent effect too.",dp
0.8395,If these monsters are allowed to live in our society we allow the cancer to live.,dp
0.8388,"Firstly, many people say that Europe does not have the death penalty so the U.S should not.",dp
0.83875,"I'll even prove it and save this woman who should be executed under the Old Law, yes she should be executed but since Christianity is about love and forgiveness and seeing as how much I hate the death penalty I'm going to stand up and face an angry mob of men with stones alone.",dp
0.8386,"If there was a justice system that was equally fair to all accused, made no mistakes and only executed the guilty, proponents of the death penalty could rightly cry, ""Fry 'um up"".",dp
0.8372,"A man sins (murder), we know that he needs help, he is apparently far from God and since it is our mission to tell him about what he could be outside of himself...we kill him, never give him a chance to change, completely and instantly banish him to an eternity in Hell so that we humans can have our primitive neanderthal sense of vengeance fulfilled.",dp
0.8370000000000001,"Some crimes are so terrible, life in prison just isn't enough.",dp
0.83625,If there was no justifiable reason for the murder then I don't care who kills the bastard... the state or a civilian.,dp
0.83625,"Bottom line, he rebuked it, calling it an ""evil"", he stopped people trying to put someone to death under the same laws that you love to quote, and then he forgave the very people that killed him in his last breath.",dp
0.836,"Ok, Im gonna try to parry every point made against the death penalty from my first post to this one: Cool Hand Dave was the first to respond to my post.",dp
0.8656666667,Society today allows the criminal more rights than the victims.,dp
0.83525,"20 If anyone with malice aforethought shoves another or throws something at him intentionally so that he dies 21 or if in hostility he hits him with his fist so that he dies, that person shall be put to death; he is a murderer.",dp
0.83475,"If it was an accident, then it was not murder.",dp
0.83425,"If they were dead, then they wouldn't have killed anyone...",dp
0.8338,"Christ taught us in the beatitudes that we should not ""take an eye for an eye"".",dp
0.8336,"If you give death sentence to a suicide bomber, you give him what he wanted in the first place.",dp
0.8332,"Yes, but until we can fix the justice system, we should cut down on the amount of death penalties being given out.",dp
0.83275,"Only .06% of people who have killed kill again when they escape, are released, etc.",dp
0.8325,"But, I am glad you didn't let it (revenge) effect you to the point of taking his life yourself.",dp
0.83175,"But Ghandi says ""an eye for an eye"" will make the whole world blind.",dp
0.8315,"If the victim lives through the ordeal, then the victim decides the criminals fate.",dp
0.80675,"Summary: You've always been told an eye for an eye, but I say that it is evil.",dp
0.8273333333,If you do the crime you need to take responsibility for the time.,dp
0.87575,"Here is what I am saying, Jesus is the ultimate authority, he not only strongly condemned capitol punishment, but he took an active role to do away with the evil.",dp
0.8266,"Yes but the bible never said another man should do the job, we are trying to play God by killing off people who we thinnk are ""bad"".",dp
0.83375,"So, you want to say that because of money or number of prisons, we should kill criminals??",dp
0.86775,"Someone who commits a crime that serious should at least be behind bars for the rest of their life, no parole at all.",dp
0.8236,"So if somebody is found guilty and sentenced to death based solely on the information provided, and it's discovered too late that the evidence was incomplete then that's simply too bad, but there's nothing we can do about it.",dp
0.8223333333,"If we don't stop it before we try to fix it, we will make it harder to fix and we will create more of a mess.",dp
0.82175,"If we put them in jail, it is reversable.",dp
0.8215,If you ask any criminal on death row if he would like to have his sentence commuted to life in prison every one of them would take that in a heartbeat......,dp
0.8214,"But now that it's done, I know that killing another person wouldn't have helped anything and that it would be an insult to her to kill another human on top of her just in the name of vengance.",dp
0.8079999999999999,"So the initial murder wasn't enough to show ""that they are willing to commit acts of violence""?",dp
0.821,"If you say I'm X, and I say you're wrong, then you're wrong because I'm not X. I shouldn't have to explain that.""",dp
0.8202,"So we kill killers, but in the end, end up with more murders.",dp
0.82,"So if 2(1eye + 1eye) = X, then X would Equal 4 eyes, which would make both persons blind.",dp
0.8195,"If you don't understand ""Beyond a shadow of a doubt"" or and eye withness or irefutable DNA evidence then I don't know what to tell you......... You seem like you are against the death penalty in all cases so let me ask you a question.......... If someone in your immediate family was raped or murdered would you feel the same way about the death penalty?",dp
0.8190000000000001,"But you said earlier that we had a chance to know Jesus face to face and thus confess, and it wasn't just guessing the right religion.",dp
0.818,If what you say is true....and God is responsible...then lets get rid of all laws and allow anyone to do anything they want.,dp
0.8175,"Katie, Capital punishment is killing someone as a punishment for a crime they committed.",dp
0.8164,"The hundred men and women who have been exhonerated from death row were tried ""thoroughly"", whatever that means, the government was granting them no more appeals, their situation was hopeless.",dp
0.8156666667,"First, each execution, on average, is associated with three fewer murders.",dp
0.8156,"The death penalty is extremely expensive, the average cost including trial, death row imprisonment, state costs, etc. is 3,200,000 dollars, six times the expense of 60 years in prison.",dp
0.9795,"if one cannot be rehabiliated in prison, they should be eliminated.",dp
0.81275,Some supporters of a moratorium and death penalty opponents claim that a concern for innocents is why they want to halt executions.,dp
0.8124,"But yet people trust the justice system enough to sentence people to life in prison with no chance of parole, and never think twice about it.",dp
0.8115,"First, because there are things much worse than quick, painless death (such as, to some people, living and growing old in a cage, while undergoing daily abuse).",dp
0.81,"So, they didn't have capital punishment in the 1790's?",dp
0.80775,"Our founding fathers, who believed that many guilty should go free lest one innocent person be convicted, also stated that to convict someone of treason (which used to be a capital offense), you needed either two witnesses or a confession.",dp
0.80725,"But if Capital punishment is used, it has to be used in all situations according to the precedent set, i.e. if the next person did not kill anyone and is wrongly convicted, he too must be executed.",dp
0.8065,"In that time adultery was punishable by death by law, and Jesus said that law was wrong.",dp
0.80625,"If you didn't execute them in the first place you'd save money on the execution, save money in any compesation claims and not actually increase the danger the public faces.",dp
0.8058,"But with our compassionate ACLU and bleeding hearts constantly fighting for the rights of these ""poor"" criminals, life in prison is a piece of cake, not a punishment.",dp
0.8052222222,"Some people don't deserve to live....like SH, for example.",dp
0.8046,Something opponents of the death penalty don't seem to understand; not everybody sentenced to death has been falsely convicted.,dp
0.8042,"So are you saying we should keep people alive indefinately since there may be this ""unknown technology"" available in the future that could get a few people out of murder raps?",dp
0.8036,If we killed more people that were guilty of their crime more people would not want to commit the crime because of the circumstances.,dp
0.80325,"First of all, I would not take any action against anyone unless I either saw it for myself( the crime), or the rapist, or murderer were positively identified by more than one witness.",dp
0.802,So you are for death penalty in serious cases.,dp
0.8018,"The death penalty reduces public safety, imagine what California's police system could do with 90,000,000 extra dollars per year.",dp
0.8014,If ever we had a system that was absolutely fair and equal to all defendants and no mistakes could be made .... I could support the death penalty.,dp
0.8736666667,"If someone is constantly finding themselves in jail, chances are their sentences will get longer and longer, and one day they'll find themselves in jail for life.",dp
0.8,"If an opportunity to do good (in this case increase the probability of the society's well being by eliminating harmful members) presents itself in any situation, TAKE IT!",dp
0.799,"If someone is given life without chance of parole, I have no problem in letting him die as soon as he was ready.",dp
0.7983333333,"If you support the right to bear arms, ultimately you believe that a person should be allowed to kill somebody in self defense.",dp
0.79725,So what exactly links our modern death penalty with the story of an execution 2000 years ago?,dp
0.797,"Jesus didn't abolish the law of the prophets, he changed them as necessary when one goes from bearing the full weight of one's sins on their shoulders to having a sviour do it for you.",dp
0.7965,So why didn't Jesus want his disciples to be put to death?,dp
0.7965,"executions from 1976 to 1999: Texas = 248 executions  nearly one-third of all U.S. executions since 1976 Virginia = 82 Florida = 51 Missouri = 50 Oklahoma = 43 Louisiana = 26 South Carolina = 25 Arkansas = 24 Alabama = 23 Arizona = 22 North Carolina = 17 Delaware = 13 Illinois = 12 California = 9 Nevada = 9 Indiana = 8 and Utah = 6 ""A shocking recent death penalty study of 4,578 cases in a twenty-three-year period (1973-1995) concluded that the courts found serious, reversible error in nearly 7 of every 10 capital sentence cases that were fully reviewed during the period.",dp
0.7964,"But it costs more, kills more innocents, and has no more advantages to life in prison.",dp
0.7963333333,"If you assume (as you do below) that prisoners convicted of life sentence still have rights as citizens than what you are suggesting is slave labour, which is illegal.",dp
0.7956,In Illinois alone something like 17 or 18 people have been exonerated in the past few years.,dp
0.7948,So between 336 to 672 innocent people have staistically been excecuted since Gregg Vs Georgia took place.,dp
0.7938,If the accused has left a family heartbroken then why should we expect to treat him better?,dp
0.7923333333,both me and thistown give examples of things that Christ said that are very frank about the death penalty.,dp
0.7912,"Solitary confinement for life is not much better of a punishment than death, sometimes even worse.",dp
0.7908,"But when you have the choice of killing innocents or putting them in jail for 20 years (or however long until we find out they were really innocent), I'll put them in jail.",dp
0.7896,"But once they go down that criminal path, I am also willing to spend the money to punish them, even if that punishment is death.",dp
0.789,"But it would be smarter to act in a wise way and not as a thug, because, yes, what goes around comes around.",dp
0.7888,"If almost everyone living on this planet is taught about sanctity of life, why should a state organ, like the judiciary, come in and do something contrary to these teachings.",dp
0.7885,"If you say I'm X, and I say you're wrong, then you're wrong because I'm not X. I shouldn't have to explain that.",dp
0.78825,"But if the revenge killing is in the style done by gang bangers who feel the need to murder someone because they showed them disrespect, then that might put them in the worst category.",dp
0.7878,If human life is an absolute value than how can you allow serial killers to remain a threat to others by NOT executing them?emoticonXConfused,dp
0.7875,"actually you said ""what if they start killing other inmates"".",dp
0.7872,If you base this belief on your christian superstitions you must at the same time believe that one who is killed should turn the other cheek.,dp
0.7866,But I would stand up in Court and ask for the harshest punishment allowed by Law in order to protect other innocents from his violent tendancies.,dp
0.7866,"Does anyone find it odd that with the higher costs of a capital punishment case (given capriciously out), that fall to the county in which the case is to be prosecuted in, that the counties often must cut social services to pay for these cases and in cutting these social services allow for more polential murders to fall through the cracks before stopping them on the path of violence?",dp
0.78625,"Some people opine that bartering a few innocent souls in the system is okay in the long-run, which I find to be a falsity and a wicked and depreciative statement to those innocents sitting on their proverbial deathbed.",dp
0.7859999999999999,"Does it make anyone safer, rather than the guilty one spending life in prison?",dp
0.78575,"If the defendant is capable of choosing which way they die, why isn't assisted suicide legal?""",dp
0.7856666667000001,"""the prisons are already over-crowded as it is""??????",dp
0.785,"Firstly, I live in Canada, so there is no death penalty here.",dp
0.8135,If their murders were just as painful .,dp
0.7846,"Yeah, I'd say that deserves death.",dp
0.7835,Concur with the anti-death penalty side there.,dp
0.7826,"So tell me, why do you consider it punishment to lock someone in a cage for the rest of their life (sometimes 60+ years), yet it is automatically revenge to execute them?",dp
0.7816666667000001,"But, that being said, I am not aware of any studies suggesting that the death penalty is a proven deterrent of capitol crimes.",dp
0.7815,"If that is the case, then the trial itself is nothing but a technicality that should be done away with, right?",dp
0.7814,"So if someone came to your house and killed your family, you wouldn't want them to die?",dp
0.78075,"Here are some verses right out of the mouth of God: Numbers 35:16-20 16 "" 'If a man strikes someone with an iron object so that he dies, he is a murderer; the murderer shall be put to death.",dp
0.78,National averages in 1997: Black kills white - 20.1% are executed White kills black: - 5.7% executed White kills black - 2.9% executed Black kills black - 0.8% executed If this doesn't show that our own personal discriminations and prejudices are intertwined with who lives and who dies I don't know what does.,dp
0.7793333333,"The adultress did not kill anyone, she committed adultry.""",dp
0.779,"If you get a life sentence, you shouldn't have any choices whatsoever.",dp
0.83775,"So, the question remains, why kill them if you don't need to.",dp
0.778,Sometimes it seems that judges and the police actually think a restraining order is sufficient to keep an irate man from killing his ex-wife.,dp
0.7775,"But if they believe in killing a man who has without provocation, savagely attacked a family member, then they are my kind of people, you dont by chance have any of their phone numbers do you.",dp
0.7768,"But for us, and human beings in our right minds, to kill another human being when we ourselves are in no mortal and immediate danger is sick.",dp
0.7764,"Roman law said she should be put to death, Jesus said no, that law is wrong.",dp
0.77575,Someone has yet to give me 5 examples of innocents that we have executed.,dp
0.73925,Stopping the death penalty is not an unnecessary step.,dp
0.774,"But the killing of innocent lives is a crime of almost every nation and by the way, this has gone to the point of needing another thread.",dp
0.773,"If someone really wants to kill themself, there are many ways that will work first time, every time.",dp
0.8859999999999999,So as long as only some innocent people are killed for crimes they didn't commit then the system must be sound.,dp
0.77225,"So let me get this straight, you would violate a womans civil rights to save a fertilized egg, but have no problem killing real people?",dp
0.772,But I think it means God gives the civil government the power to punish the people it protects up to the use of that sword.,dp
0.7712,"If they want to die rather than live with the weight of their crime, let them.",dp
0.7709999999999999,"BUT... should the criminal make any attempt at breaking out, harming another prisoner or guard, then the death penalty becomes possible in my scenario.",dp
0.745,If they have already payed for their crimes?,dp
0.7705,"Here in Romans, we see that the sword is borne by the State to execute God's wrath upon the evil doers.",dp
0.7698,"If all other alternatives fail and the result is them simply spending their lives locked up and being worthless, while everything they need to keep them alive under good conditions are simply given to them without them compensating for it in any way (and using tax money that is necessary in other and far more important areas is not compensating for their being locked up; using money in areas where there will be no benefit for the society as a whole is negative and downright stupid) then death penalty should be the next step.",dp
0.7695,"If the preacher had followed the golden rule , he would not have slapped my employee, because he would NOT have wanted someone slapping him, PLUS he would not have taken the chance of being slapped back , by this bruiser of a man.",dp
0.7694,"If this were being looked at from a religious standpoint, the Ten Commandments clearly state: ""Thou shalt not kill.""",dp
0.7694,"But other than that solitary confinement for life should be the worst any human being should get as a punishment, which some could argue is worse than death.",dp
0.768,so its justice,dp
0.767,"If he would have pardon him, Jesus would have let live and release him (since he is the son of God how can he not?)",dp
0.7666666667,"Here's the problem...you can't divide people into law-abiding citizens and hardened criminals, murder is a crime of passion and rage.",dp
0.7659999999999999,Some people claim that the death penalty is a sign of backwards thinking and not indicative of a developed nation.,dp
