id,argument,label,set
26,Autonomous cars remove the arbitrary practice of speeding tickets by ending the practice of speeding.,0.333333333,train
27,Professional social media sites allow people the opportunity to make connections with others in their industry to share ideas and employment opportunities.,0.75,train
28,Social media is an instrument that provides the right to normal people to get connected to powerful politicians and people to directly interact. This medium was no there before.,0.818181818,train
29,"Not allowing something, in this case violent video games, increases minors desire to play the games and they will seek opportunities to do so",0.571428571,train
30,It is a great enabler if used for its intended purpose. There are so many voices in our society and the world at large that would never have been heard from if not for social media.,0.583333333,train
31,I witnessed Social media significant contributions to bring democracy and free speech to my beloved Tunisia when it was governed by dictators for way too long. Thus Social media brings more good than harm.,0.642857143,train
32,"Meat is a very inefficient way to make food, with the amount of energy and resources it takes to produce certain calories worth of vegetarian food you can produce alot less meat.",0.6,train
33,Data privacy limits the degree to which malignant corporate and political interests can discriminate against disadvantaged groups and divide us against each other.,0.875,train
34,Online shopping can be harmfull towards small businesses which dont have the marketshare to compeed in the online shopping market,0.444444444,train
35,Few companies today have unfair advantage due to having a monopoly in their market. Privacy laws are needed to stop them from using this power unfairly.,0.636363636,train
36,Online shopping has a negative effect on the local community and increases social isolation,0.923076923,train
37,it's easy to create false social media accounts and skew polls or public perception,0.692307692,train
38,"If autonomous vehicles can reduce accident rates in a statistically significant way, then we need to continue developing them as human error and poor decision-making accounts for countless accidents and innocent deaths.",0.7,train
39,Problems with meat production should not be addressed by abandoning it completely; rather those concerned about animal welfare should work with farmers to make it more humane.,0.6,train
40,"Lottery winners often suffer family problems because the sudden change in status leads them to live very different lives that they are not used to, or creates arguments of how finances should be used.",0.3,train
41,"Since not everyone responds the same way to drugs, legalizing doping won't equalize the field but will just create a different way in which people are unfairly disadvantaged.",0.7142857140000001,train
42,Fewer intermediaries decreases the cost of transferring crypto compared to traditional money.,0.764705882,train
43,We should legalize doping in sport because it will allow women to compete at or closer to the level of men in sports where there has previously been an advantage for men.,0.7,train
44,Yes provided legislation does not introduce loopholes which can be misused,0.9,train
45,"This sets a bad image for children and teens who may look up to athletes - it encourages younger children to adopt these practices, which likely has harmful health effects.",0.571428571,train
46,Allowing doping in sports would lead to a public health crisis and result in athletes dying.,0.636363636,train
47,"Psychology research has shown correlations between violent video games and deteriorating mental health later in life. Therefore, violent video games should be banned for minors during crucial cognitive development stages.",0.923076923,train
48,"In a democracy, a state must defend it's citizens from harm - either physical or digital, and privacy laws are one way of doing that.",0.7,train
49,"Online shopping lets companies show different prices to different customers, causing people to pay more without even knowing.",0.818181818,train
50,Major supplier of fossil gasses is arab countries which support terror. Less use of them means less money to those countries which directly effect terror budjets,0.526315789,train
51,cars are not good for us so lets not keep them all the time.,0.333333333,train
52,The information spreaded is social media is rarely verified. Great part of the information shared via social media is misleading or simply false. People canâ€™t tell what is true- fake news media.,0.6,train
53,"Drivers admitted failure to report collisions at 29%. Therefore, flipping the switch on autonomous cars would achieve 0% improvement in reported crashes - actually a 29% decrease.",0.454545455,train
54,"Gambling has good attributes to it. It does make people happy, often reduces pressure, and gives people hope. The latter is especially true for the poor - whose lives are otherwise often hopeless.",0.2,train
55,Over use of social media leads to people becoming introverted and unable to converse in real life,0.384615385,train
56,Autonomous vehicles provide a significant challenge to science and engineering that will make transportation safer and benefit society beyond transportation just like the race to put a man on the moon.,0.428571429,train
57,"As any computer system, autonomous cars will be susceptible to hacking, just in this case the consequences are enormous.",0.882352941,train
58,Economically depressed neighborhoods and their inhabitants can benefit from tax revenues collected from local gambling venues.,0.7142857140000001,train
59,"Yes, there will be more and more people losing job, just like the China taking the job away from the US worker.",0.363636364,train
60,The reason why there aren't enough alternatives is because we lack knowledge on ther energy sources. Banning fossil fules may urge to produce energy from potentially more dangerous sources like atomic energy.,0.545454545,train
61,"Social media has allowed for curated content about people's lives to populate others' daily lives, while more deep and valuable interactions have become less common.",0.28571428600000004,train
62,It helps people to know about happenings on the world without a bias from media,0.833333333,train
63,"Many a times it happened that, different consumer companies are addressing your complain quicker when it is posted on social media, rather than going through formal process.",0.5,train
64,"social media keep and remind you all of your good experiences, so its help you to remain your satisfaction along your life.",0.375,train
65,There are unique dietery benefits to meat consumption that are unavailable in any other way.,0.545454545,train
66,"Studies have shown that a vegetarian diet is more effective for weight loss, as compared to a meat-driven diet.",0.7692307690000001,train
67,Social media allows fake propaganda or hate speech to spread easily.,0.8888888890000001,train
68,"Online shopping is addictive and because it is so easy, it's easy for people to lose touch with reality.",0.5,train
69,Social media can cause false news to be spread widely and very quickly possibly causing panic,1.0,train
70,Social media enables people to make information that is not true or supported by any evidence publicly known and mistaken by truth,0.3,train
71,Gambling is often a gateway to other illegal activities; the rates of prostitution &amp; drug use in Vegas proves that gambling never stands alone.,0.764705882,train
72,"Privacy laws is a means of protecting someone interest, but most of the time, used to protect someone bad activities. And law is always depends on it's implementation and control, which can't be fully controlled.",0.4,train
73,When most shopping is done online there is less need for physical stores and service providers. This means that businesses can cut costs and offer lower prices to consumers.,1.0,train
74,"Social media has provided the ability for marginalized peoples, such as LGBTQ youth, a support network that makes them feel like part of a broader community which improves the quality of life immeasurably.",0.818181818,train
75,Universal publicity of data may help the world to be more globalised and integrated,0.428571429,train
76,Able individuals should be allowed to make their own choices. There is no government or other institution better placed to evaluate the pros and cons of a decision than the affected individual.,0.7,train
77,"If information laws are not based on solid science on the psychological impact these laws will have, strict laws may hinder the use of data for human well-being",0.363636364,train
78,Putting a lock on data will have a consequence less knowledge of the customer which will eventually mean less relevance in the market.,0.545454545,train
79,"People have the option of establishing security arrangements with any businesses that carry their information, thus alleviating the need for government involvement.",0.4166666670000001,train
80,"Casinos are made to make you an addict from the moment you get in. Like a drug, when you start using it you don't have a real choice to stay or leave",0.7142857140000001,train
81,Gambling is a hidden tax on those that can least afford it.,0.4166666670000001,train
82,autonomous cars will reduce the number of car accidents,0.5,train
83,"Social media disproportionally promotes fake news, or at least a somewhat false version of the actual news. Trustworthy media gets less exposure, and people are affected by the lies they encounter through social media.",0.8,train
84,it will allow to completely renew the design of vehicles and our experience of transportation,0.384615385,train
85,"In the past when you talked to your neighbor in the yard, kept your financial records on paper, and sent postcards telling of your vacations, information privacy laws could be minor, but those days are gone.",0.4166666670000001,train
86,- One doesn't interact with other people as much. -You don't get to inspect the object physically. - Phishing scams or other malware attacks. - Relying on others for delivery.,0.4,train
87,By banning fossil fuels we are reducing the air pollution,0.933333333,train
88,Social media has allowed for the connections between families and friends that haven't been able to have other forms of communication open due to geographical barriers.,0.625,train
89,enforcement of banned activities costs the taxpayers money and does not prevent the activity,0.545454545,train
90,Social media itself can foster active discussion around topics of mutual interest.,0.75,train
91,Social media amplifies what it finds; it's on us to help social media reflect the better angels of our nature.,0.454545455,train
92,Autonomous cars will drive laws to keep humans off the roads to limit liability for manufacturers. J-walking laws were created to protect manufacturers in the early 1900s - not to protect humans!! History always repeats.,0.333333333,train
93,Social media creates an unnecessary peer pressure on millennials to live up to needless and unrealistic expectations of people they see on social media.,0.8,train
94,"we need to support the privacy laws the basic needs of the person like personal care, health records, choices, wishes and dreams and most Ideas to share, thinking process etc,.",0.3125,train
95,"When roads are full of autonomous vehicles, machines will be able to communicate with each other seamlessly, so driving will become more efficient and safer for everyone.",0.625,train
96,Social media accounts are not authenticated and anyone's identity can be faked and used to cause harm to a person's reputation,0.384615385,train
97,Online shopping empowers free speech by allowing individual stores with political or controversial messaging to maintain a presence regardless of outside pressures trying to silence them.,0.23076923100000002,train
98,Social media is a platform for information sharing that is not as easily manipulated by government as traditional media.,0.7333333329999999,train
99,"As long as there are autonomous cars plus regular cars, autonomous cars will not be effective.",0.625,train
100,"If autonomous car is faced with unavoidable choice to either crash into tree and kill the passenger(s) vs hitting a child crossing the road, what is the moral and ethical compass that will guide the car?",0.7142857140000001,train
101,"Social media allows people to improve their relationships and make new friends: 93% of adults on Facebook connect with family, 91% connect with current friends, and 87% connect with friends from the past.",1.0,train
102,"Gambling wouldn't stop. Banning it would make people to take it underground, and thus being exposed to a much more harmful surrounding.",0.666666667,train
103,Social media is a cheap and always on medium for me to connect with near and dear whenever I wish. How can that bring harm?,0.384615385,train
104,Bullying is more popular now that social media is around,0.5,train
105,"Social Media allows families to remain connected whilst separated. Parents to understand their children, and friends to keep in touch.",0.5,train
106,Autonomous cars do not have human instinct to predict possible accidents,0.846153846,train
107,"Social Media is an artificial connection between people as information is ""pushed out"" without any filtering.",0.7,train
108,Gambling industry employees millions of people directly and indirectly. Gambling reduces unemployment!,0.545454545,train
109,"and had no idea about this city but thanks to facebook (pune(flat and flatmates), people guided my with the places i can dwell in",0.1,train
110,"Vegetarianism, as activism for the environment, puts the onus of climate activism unto the individual instead of larger corporations, the ones largely responsible.",0.3,train
111,"It is dependent on the trust and the online platform provider do not proactively validate if the service provider is scam or fraud, there are instances of customers being cheated.",0.444444444,train
112,Gambling brings in lots of tax revenue to the state government.,0.636363636,train
113,Gambling is compulsive and addictive and many people lose money they can't afford. The rest of society pays for those loses through the need for social services.,0.692307692,train
114,Online shopping allows for rapid innovation considering there is less infrastructure investment required compared to brick and mortar channels.,0.583333333,train
115,"From the first day you start using Social Media, nothing will ever get forgotten of what you will post, like, or what you will simply click on. Frightening !",0.4,train
116,Social media allows communities to communicate when violent organizations are taking action against local peoples.,0.5,train
117,"Social media idealizes the idea that the individual is the most important thing, since it puts the subjective experience in the center- this creates an uncaring society",0.545454545,train
118,"Cars are not used for most of their &amp;quot;life&amp;quot;, mainly being &amp;quot;clutter&amp;quot; on the sides of our roads, autonomous vehicles will need fewer cars, taking less space.",0.28571428600000004,train
119,"I do not see that the senior people in the technology companies have made all of their personal bank details public, so I can access their personal money. They expect privacy, so do I.",0.538461538,train
120,Fossil fuels promote inequality between different countries based on random and unfair factors - whether there were fossil fuels available or not,0.75,train
121,We should ban gambling because according to most moral and ethical frameworks it is wrong to take advantage of people like casinos do.,0.4,train
122,Social media platforms do not enforce strong identification of the person behind an identity allowing abuse and misuse of the capability,0.923076923,train
123,"If everyone starts doping then everyone will improve the same amount, so what is the point in putting their health at risk.",0.6,train
124,its unethical to slaughter a living being that cannot speak for them selfs. more vegetarians means less slaughtering .,0.5,train
125,Social Media makes people sicker. The ads make them think they need medicine and doctors but what they really need is a connection to the natural world - to be immersed in nature.,0.5,train
126,"Social media helps small businesses and entrepreneurs reach their target audience and, through expansion, creating more jobs",0.5555555560000001,train
127,"social media sparked a new form of expression that allowed to criticize bad form of governments (eg. Arab spring, opposition in russia etc...)",0.5555555560000001,train
128,Social media's focus on pictures and attention increases the vanity of society and degrades people's self worth.,0.6,train
129,"Social media has become a substantial source of information for news around the world, however sources for that news are neither vetted nor verified, leading to the proliferation of 'fake news'",0.727272727,train
130,"if we stop eating meat and breeding animals for meat, all of those animals will die and go extinct",0.352941176,train
131,"It is impossible to ban children from using violent video games. They will find another way, making this motion very ineffective in solving the problem.",0.545454545,train
132,In a developing country like India what's app and facebook has become a major source of spreading fake news. These fake news has resulted in violence and lynching.,0.8,train
133,Violent games make kids less empathetic and they tend to socialize less,0.7692307690000001,train
134,Freeing up labour hurts people in the short term but in the long term encourages us to spread into new markets as we have cheap workers to use,0.28571428600000004,train
135,"For digital commons to be successful, users need to be sure that their submissions will be protected from malicious use",0.642857143,train
136,There is a big emphasis of quality because of the input of online reviews by other buyers. There is an incentive for the manufacturer to make good products and the consumer is saved from cheating.,0.7,train
137,"minors rely strongly on strict boundaries. Once they can act in a violent way and get away with it, even if it's in a game, it will lead to more violent behaviors overall.",0.5555555560000001,train
138,"As as the world gets more crowded and our children find busier streets , they will have an increased need for transport. I believe autonomous vehicles can become an answer supporting efficient and safe travel.",0.583333333,train
139,Children spend more time on social media than on their school work which is a distraction,0.5555555560000001,train
140,Social media helps people share about their lives and connect with others.,0.75,train
141,Data should not be used without the user's acceptance to generate revenue to third party companies,0.666666667,train
142,"Millions of people are employed as drivers, autonomous cars will eliminate a huge number of jobs without replacing them in any way. The specific people harmed are mostly from lower economic classes",0.6875,train
143,"Since accidents in autonomous cars will be less frequent and are caused by manufacturers, not drivers, it will be the manufacturers, not the the insurance companies of individual people, who will have to pay out damages.",0.46666666700000003,train
144,Gambling is a fun activity that can be enjoyed with friends.,0.666666667,train
145,Social media can be used to spread fake news or gossip to sway public opinion unfairly for example against a political contestor.,0.833333333,train
146,"Absolutely, the quicker the better. In the meantime, we could supplement gas with hemp oil now that it's legal. The damage it does is not worth the money, no matter how much.",0.545454545,train
147,"Social media is the future. providing a transparent platform for people to express themselves, much like an op-ed. The advantage is no editor to change the original intent. Bias is expected and should be accounted for.",0.375,train
148,Biased and false news tend to create saturated and influenced views of the topic. This is an unhealthy trend in public discourse.,0.6,train
149,Online shopping hurts brick and mortar business owners.,0.916666667,train
150,Social media facilitates predatory behavior since people can make fake profiles and use them to stalk and endanger others.,0.857142857,train
151,"Banning fossil fuels will force and incentivize governement and corporations to find better, more viable alternatives",0.818181818,train
152,"Social media allows us to see posts from our elected officials, this direct communication in theory allows the voter to see which candidate best represents their views.",0.545454545,train
153,"There is no barrier to entry, no arbiter of truth, and it is frequently used to manipulate and malign. The little good it does can be done in better and less damaging ways.",0.545454545,train
154,"Nearly all young men play video games, so the fact that some people who commit violent acts also played games should not be surprising, nor does it imply a causal relationship.",0.6,train
155,Yes. If there are no filters and controls then it certainly does more harm than good.,0.5,train
156,Social media overall does not portray realistic versions of people's lives and blurs the lines between what is real human emotion experience and what is not. This creates pressure and confusion for users,0.933333333,train
157,Social media has more potential than any other medium to unite a myriad of unique individuals into one unified whole.,0.636363636,train
158,"Until there is a legal framework covering insurance of and therefore remuneration of individuals affected by an accident involving autonomous cars, the development of autonomous cars should be stopped.",0.75,train
159,When most shopping is done online there is less need for physical stores and service providers. This means that many people lose their jobs.,0.9,train
160,Social media can be fun and informative when used as such,0.545454545,train
161,Social Media gives business platform to interact with their customers faster.,0.7777777779999999,train
162,Lots of misinformation can be spread around the world in real time in a snow ball effect.,0.615384615,train
163,Legislating morality does not increase morality. If the goal is to decrease the unhealthy effects of gambling then a more productive approach would be helping people become emotionally healthy.,0.25,train
164,Autonomous cars will reduce fatalities as they will be better than drunk drivers,0.772727273,train
165,"Social media allows us to find real friends, regardless of geographical proximity",0.8888888890000001,train
166,We should legalize doping in sport because it will allow athletes to recover from injuries and prolong their careers better.,0.5555555560000001,train
167,"New technology is often perceived as harmful at first, but it must be given a chance to show its benefits",0.6,train
168,Privacy laws are unnecessary because companies only use personal information to improve user experience.,0.363636364,train
169,Gambling gives people hope to become rich and makes them happy,0.615384615,train
170,"It is very difficult or almost impossible to protect our privacies as information cannot be vailed if it is once vailed. So, I believe we will not have concern on privacies in the future.",0.28571428600000004,train
171,We should legalize doping in sport because it is arbitrary to reward someone for naturally having more of a chemical in their body and punish them for putting it there.,0.571428571,train
172,"a vegetarian diet wastes a lot less of our planet's resources like water, energy and land",0.8125,train
173,"Online shopping lowers the cost of products by ""cutting the middleman"", no money is wasted on constructing local shops, hiring local workers, etc.",0.8888888890000001,train
174,"It is just another opportunity to waste our time , and is intrusive upon our thoughts",0.75,train
175,Gambling should not be banned if it is done as a way of developing strategies.,0.153846154,train
176,"Gambling is part of our human culture, and it is a fundamental element of our social tools.",0.25,train
177,We should ban gambling because it is a tax on those who are less educated and can least afford to pay their gambling debts.,0.7777777779999999,train
178,Violent Video games desensitize minors to gross violence which makes them less able to appropriately interact with the everyday sorts of violence that they will engage with.,0.8,train
179,Individuals are the best arbiters of their own individual conception of the good and should be able to decide if they want to be vegetarian.,0.571428571,train
180,Selling a illusion of potential richness give a nice feeling,0.454545455,train
181,It is inappropriate to force people to conform to a singular way of thinking when they are not doing anything to harm another person.,0.5555555560000001,train
182,Fossil fuels destabilize the ecosystem which will harm future generations.,1.0,train
183,Banning gambling violates the right to liberty and free will of the individual,0.75,train
184,Renewable energy won't exist any time soon and hence there is no alternative,0.4,train
185,"Banning an activity often drives it into illicit arenas, which are more difficult for the community to observe and more perilous for the participants.",0.583333333,train
186,"The punishment for accidentally taking a banned substance is far too high and can ruin an athlete's life, it isn't worth it.",0.6,train
187,"An individual's ""Personal"" information ie; Social Security number, personal credit, investment, savings accounts, medical info. etc. must be protected by privacy laws and security to help deter the proliferation of identity theft.",0.923076923,train
188,Gambling is a drug and drugs are not good,0.5,train
189,Even children know how to differentiate the digital world from the real world.,0.8,train
190,"Autonomous cars will improve safety and vastly reduce the number of auto accidents, as a majority of accidents are attributed to human error.",0.681818182,train
191,"It's an easy and cost effective way to promote the products, offer services.",0.666666667,train
192,We should not ban the sale of violent video games to minors because the definitions will be arbitrary and likely favor one narrative or style over others.,0.8,train
193,"the decision on whether to purchase a certain product is an educational decision that parents should make, not one that it is the state's place to take",0.470588235,train
194,"Even if people gamble responsibly, most do not gain anything for their investment in it, and even the winners sometimes undergo hardship from unwanted attention or become victims of their own success.",0.6,train
195,"Being able to synthesize every thought that there is, in a social media post, no matter how false or unreal they are, is a real show of nerve which tests our tolerance limits",0.538461538,train
196,These fuels pollute the environment . We have another options like solar energy that is very advancing today and much more environmentally friendly,0.625,train
197,I do not want companies to use my personal information for other than intended purpose,0.666666667,train
198,"Best way to remain connected to your family, friends and all near and dear ones.",0.818181818,train
199,It is against the freedom about the information and privacy of the people.,0.384615385,train
200,"Driverless cars are mostly based on neural networks, which cannot be trusted.",0.333333333,train
201,The only advantage of Social media is to express our thoughts at anytime. World has become small and you will be able to connect all leading people in the world.,0.3,train
202,"What people don't say publicly in a crowd, they believe it is easier to say in the safety of four walls through social media. Polarisation is high due to strong partisan opinions and fake news.",0.5,train
203,Drugs would allow athletes to recover better from injuries so they can return to sport faster and won't be deterred of practicing sport in the first place,0.7142857140000001,train
204,"Online shopping brings more harm than good because it allows American companies to dominate commerce in smaller countries and undermines their domestic retailers, such as Amazon in Ireland.",0.444444444,train
205,Autonomous cars will lead to professional drivers losing their employment,0.7,train
206,shopping in physical shops exposes customers to a vast number of options and products they don't necessarily need in a way that can manipulate them to buy and spend more money than they intended to.,0.25,train
207,As long as the privacy of one person does not take away the democratic insight and transparency for others,0.6,train
208,Self-driving cars will greatly reduce serious accidents and deaths from driving,0.28571428600000004,train
209,"Since casinos usually bring managers and higher level workers with them, they don't create anything besides low paid and low level jobs in the local communities.",0.666666667,train
210,"The more time you waste in social media virtual or masked world, the less time you spend in real life true unmasked relationships",0.666666667,train
211,Mass excepting of vegetarianism will create a great incentive to companies to develop better supplements as lab grown meat.,0.6,train
212,"Online shopping minimizes social contact, promoting social isolation.",0.583333333,train
213,"Autonomous cars increase transport accessibility and comfort, allowing people to travel without the need of a driver license while being able to interact with other passengers",0.875,train
214,Cryptocurrency would lead to a more volatile stockmarket with larger busts since transactions are so fast and could snowball very quickly.,0.444444444,train
215,"As we run out of fossil fuels they get more and more expensive without research for an alternative, which will lead to a lack of energy crisis.",0.545454545,train
216,"Many institutions and businesses have money invested in fossil fuels, a ban would destroy the economy and those institutions.",0.8888888890000001,train
217,Social media spreads unverified information as if it were fact causing disruption in fact based information,0.818181818,train
218,"SM allows the user to surround themselves with views they agree with, diminishing the ability to sway opinion; rather it entrenches and bolsters views to ultimate polarization.",0.857142857,train
219,"we should not stop the development, but implementation until we do more testing and create regulation on upcomming issues.",0.2,train
220,gambling is extremely addictive. it will make people give up they're entire money leading to bankrubcy leading to depresion leading to suicide.,0.526315789,train
221,"Privacy is a fundamental right for each and every human being and enshrined in privacy laws. Without this, who and what would you trust? It is about respect for each every living human being.",0.833333333,train
222,"We should adopt vegetarianism because eating meat would be harmful for the globe if everyone did it, and therefore it is unethical for anyone to do it, even if the individual harm is small.",0.625,train
223,Killing animals for food is wrong. With our modern to technology we can survive on food other than meat and therefor killing animals just for the taste of meat is wrong.,0.727272727,train
224,"We should not legalize doping in sport because children would be forced to start doping younger and younger in order to get into the right junior teams and academies, damaging their development.",0.7777777779999999,train
225,Very bad for kids - teaches them far too much about violence .,0.666666667,train
226,"If we allow doping, there will be an arms race of people taking more and more drugs and more risks to get an edge over their competitors.",0.8,train
227,"Gambling create a mindset that prefer luck over skills, there for they have harder in life. To get money and to get to work, because they try to get money in the easy way",0.571428571,train
228,Social media has led to the increased perception of failure in comparison to the accomplishments of everyone around them. This had increased instances of depression and low self-esteem in particularly young people.,0.666666667,train
229,"Cryptocurrencies should be banned until: (1) everyone understands them; (2) everyone trusts them, and (3) law enforcement can detect and punish the criminals who are already using them.",0.46153846200000004,train
230,Advantage is taken by people who would like to influence crowd mentality for malicious motives.,0.666666667,train
231,"Autonomous cars are susceptible to tempering by hacking, potentially leading to life threatening situations.",0.818181818,train
232,Online shopping harms small businesses because they are unable to compete with large online retailers.,1.0,train
233,"There are no more secrets, every thing is known about each and every human being and its online and being manipulated without your consent or control. You cannot be identified, you do not exist.",0.23076923100000002,train
234,"If kids see their idols doping, they'll start doping as well, and doping in unregulated environments is dangerous (especially for young children)",0.857142857,train
235,"Social media provide information. An information is an information which can be used anyway and with any intention .We have right to be informed in order to take decisions based on actual and not assumptions,",0.4166666670000001,train
236,"Yes we should, current information model creates the sensation of being observed and manipulated on internet.",0.46875,train
237,Social Media make personal world wide and bring person to unknown world,0.333333333,train
238,"Autonomous cars allow us to be less distracted from the traffic and congested roads. Therefore, we should promote the development of autonomous cars.",1.0,train
239,"Gambling is the current employment of many specialized workeea, many of which are old, and so thay probably won't be able to find a good job after the banning of gambling.",0.2,train
240,"Reduced land requirements for vegetarian diets decreases the price of land, allowing people to acquire property more easily.",0.4375,train
241,the use of steroids is very carcinogenic by regular use. we already prohibiting food for being carsinogenic so it sould be the same.,0.272727273,train
242,Any information that someone does NOT voluntarily share with other people SHOULD be protected.,0.7857142859999999,train
243,"Progress can only made with free access to data. By connecting all the dots, new magic can be developed.",0.352941176,train
244,"Gamblers know that they are likely to lose money, they do it because they enjoy the leisure activity and would be spending that money on other attractions anyway.",0.5,train
245,"Social media allows transfer of ideas, images, events, etc. at a much faster rate than that of traditional media (TV, radio, print news, etc.).",0.7333333329999999,train
246,"people like to post happy moments in social media, this causes mixed feelings on people reading those posts",0.5555555560000001,train
247,"This would collapse Latin American democracies (Brazil, Uruguay etc.), whose political configurations have already been weakened by anemic international economic growth for luxury food items (steak particularly)",0.666666667,train
248,"Gambling should not be a habit and played regularly, but if it is played as another game and thought as a form of entertainment its good",0.23076923100000002,train
249,Many posts and videos on Facebook or any other social media are not verified and those are mostly edited and biased.,0.5555555560000001,train
250,"While humans are ostensibly terrible at driving based on accident data, we currently do not have a societal framework for people to be protected by injury from autonomous machines",0.272727273,train
251,"It is important that as a user of many different social platforms and a consumer both online and offline, my data is protected",0.5625,train
252,Social media facilitates discourse by allowing individuals from different backgrounds to discuss the same material.,0.8235294120000001,train
253,"Gambling enhances cognitive capabilities, e. g. handling large information, analysing complex situations and rapid decision taking.",0.6,train
254,gambling often attracts tourism which result to more income,0.428571429,train
255,"Gambling is addictive, people get andrenalin from the anticipation and exitment, so they spend a lot of money on that instead of caring for their family.",0.857142857,train
256,"Cryptocurrency wipes out the assets of many banks, which would shut down most small banks.",0.7142857140000001,train
257,Platforms such as Facebook MessengerKids; still has an unclear privacy policy. Such platforms unless regulated by Govt policies are bound to tend towards sharing user's data across platforms/orgs/service partners &amp; finally compromising the objective.,0.545454545,train
258,I do not think they should be banned but I think they should be restricted and there should be parental notifications and permission.,0.454545455,train
259,"Due to social media, businesses are compelled to provide better and timely customer support.",0.857142857,train
260,Its an easy way to manipulate and steal peoples information,0.7857142859999999,train
261,It adversely affects your daily life and creates addiction problems.,0.666666667,train
262,Shopping is much more addictive when it is easily available at any time,0.625,train
263,The meat industry by nature needs to violate animal rights laws to increase profits; the continued existence of the meat industry is an incentive to break laws.,0.636363636,train
264,"Everybody has something to hide. This is why we have encryption, curtains, clothes.",0.583333333,train
265,"By not using metal, digital currencies do not require abusive mining to create or destroy natural resources.",1.0,train
266,Unbridled and unfiltered social media content can have the effect of sensitizing people at increasingly younger ages. Whether or not this is harmful depends on a child's ability to cope.,0.533333333,train
267,Online shopping helps you capture good offers and price balance for ggods,0.2,train
268,"As an individual, I should have the choice what happens with my data",0.5625,train
269,"Autonomous cars have to deal with ethical issues such as choosing between alternatives who to kill in case of emergency, and it is not clear whom to blame",0.375,train
270,Drivers will have their jobs threatened and this will probably have a big economic impact in their lives,0.5,train
271,Gambling offers the idea of getting a lot of money for very little work. Do we really want to encourage that attitude in our society?,0.636363636,train
272,"Traffic, uncertainty, road conditions and suboptimal driving procedures make automobiles today harmful to the environment. The development of autonomous vehicles will reduce congestion, polution, and enable the faster move to alternate propulsion for sustainability benefits.",0.636363636,train
273,"We should not legalize doping in sport because sports would become so much more focused on the new physical aspect that technique and strategy would suffer, hurting the quality of play.",0.625,train
274,"Echo chambers are a serious issue these days, resulting in people who are unaware of what happens in the real world around them",0.545454545,train
275,Autonomous cars will be hacked and used as weapons in terror attacks,0.7,train
276,"Because social media participants are not authenticated, the technology has been and will continue to be undermined by those with malicious intent. We need KYC laws.",0.7333333329999999,train
